theta,p,model
23.7,1.59498923554636e-05,brooklyn prior
23.8,1.6003084364732e-05,brooklyn prior
23.9,1.60562277591916e-05,brooklyn prior
24,1.61093227758945e-05,brooklyn prior
24.1,1.61623696497476e-05,brooklyn prior
24.2,1.62153686135411e-05,brooklyn prior
24.3,1.62683198979762e-05,brooklyn prior
24.4,1.63212237316922e-05,brooklyn prior
24.5,1.63740803412937e-05,brooklyn prior
24.6,1.64268899513767e-05,brooklyn prior
24.7,1.64796527845551e-05,brooklyn prior
24.8,1.65323690614852e-05,brooklyn prior
24.9,1.6585039000892e-05,brooklyn prior
25,1.66376628195928e-05,brooklyn prior
25.1,1.66902407325221e-05,brooklyn prior
25.2,1.67427729527553e-05,brooklyn prior
25.3,1.67952596915319e-05,brooklyn prior
25.4,1.6847701158279e-05,brooklyn prior
25.5,1.69000975606335e-05,brooklyn prior
25.6,1.69524491044648e-05,brooklyn prior
25.7,1.70047559938963e-05,brooklyn prior
25.8,1.70570184313277e-05,brooklyn prior
25.9,1.71092366174555e-05,brooklyn prior
26,1.71614107512942e-05,brooklyn prior
26.1,1.72135410301969e-05,brooklyn prior
26.2,1.72656276498754e-05,brooklyn prior
26.3,1.73176708044204e-05,brooklyn prior
26.4,1.73696706863206e-05,brooklyn prior
26.5,1.74216274864823e-05,brooklyn prior
26.6,1.74735413942485e-05,brooklyn prior
26.7,1.75254125974171e-05,brooklyn prior
26.8,1.75772412822597e-05,brooklyn prior
26.9,1.76290276335397e-05,brooklyn prior
27,1.76807718345296e-05,brooklyn prior
27.1,1.77324740670293e-05,brooklyn prior
27.2,1.77841345113828e-05,brooklyn prior
27.3,1.78357533464953e-05,brooklyn prior
27.4,1.78873307498501e-05,brooklyn prior
27.5,1.79388668975252e-05,brooklyn prior
27.6,1.79903619642089e-05,brooklyn prior
27.7,1.80418161232165e-05,brooklyn prior
27.8,1.80932295465058e-05,brooklyn prior
27.9,1.81446024046925e-05,brooklyn prior
28,1.81959348670655e-05,brooklyn prior
28.1,1.8247227101602e-05,brooklyn prior
28.2,1.82984792749826e-05,brooklyn prior
28.3,1.83496915526051e-05,brooklyn prior
28.4,1.84008640986e-05,brooklyn prior
28.5,1.84519970758437e-05,brooklyn prior
28.6,1.8503090645973e-05,brooklyn prior
28.7,1.85541449693987e-05,brooklyn prior
28.8,1.86051602053193e-05,brooklyn prior
28.9,1.86561365117342e-05,brooklyn prior
29,1.87070740454569e-05,brooklyn prior
29.1,1.8757972962128e-05,brooklyn prior
29.2,1.88088334162281e-05,brooklyn prior
29.3,1.88596555610903e-05,brooklyn prior
29.4,1.89104395489126e-05,brooklyn prior
29.5,1.89611855307703e-05,brooklyn prior
29.6,1.9011893656628e-05,brooklyn prior
29.7,1.90625640753515e-05,brooklyn prior
29.8,1.91131969347195e-05,brooklyn prior
29.9,1.91637923814354e-05,brooklyn prior
30,1.92143505611383e-05,brooklyn prior
30.1,1.92648716184149e-05,brooklyn prior
30.2,1.93153556968098e-05,brooklyn prior
30.3,1.93658029388372e-05,brooklyn prior
30.4,1.94162134859912e-05,brooklyn prior
30.5,1.94665874787567e-05,brooklyn prior
30.6,1.95169250566196e-05,brooklyn prior
30.7,1.95672263580777e-05,brooklyn prior
30.8,1.96174915206505e-05,brooklyn prior
30.9,1.96677206808892e-05,brooklyn prior
31,1.97179139743869e-05,brooklyn prior
31.1,1.97680715357885e-05,brooklyn prior
31.2,1.98181934988001e-05,brooklyn prior
31.3,1.98682799961986e-05,brooklyn prior
31.4,1.99183311598411e-05,brooklyn prior
31.5,1.99683471206745e-05,brooklyn prior
31.6,2.00183280087444e-05,brooklyn prior
31.7,2.00682739532039e-05,brooklyn prior
31.8,2.01181850823232e-05,brooklyn prior
31.9,2.01680615234977e-05,brooklyn prior
32,2.02179034032574e-05,brooklyn prior
32.1,2.02677108472749e-05,brooklyn prior
32.2,2.03174839803739e-05,brooklyn prior
32.3,2.03672229265382e-05,brooklyn prior
32.4,2.04169278089191e-05,brooklyn prior
